Episode,Title
S1929E1,Bosko the Talk-Ink Kid
S1930E1,Sinkin' in the Bathtub
S1930E2,Congo Jazz
S1930E3,Hold Anything
S1930E4,The Booze Hangs High
S1930E5,BECar Blues
S1931E1,Big Man from the North
S1931E2,Ain't Nature Grand
S1931E3,Ups 'n Downs
S1931E4,Dumb Patrol
S1931E5,Yodeling Yokels
S1931E6,Bosko's Holiday
S1931E7,The Tree's Knees
S1931E8,Lady, Play Your Mandolin!
S1931E9,Smile, Darn Ya, Smile!
S1931E10,Bosko Shipwrecked!
S1931E11,One More Time
S1931E12,Bosko the Doughboy
S1931E13,You Don't Know What You're Doin'!
S1931E14,Bosko's Soda Fountain
S1931E15,Hittin' the Trail for Hallelujah Land
S1931E16,Bosko's FEHunt
S1931E17,Red-Headed Baby
S1932E1,Bosko at the Zoo
S1932E2,Pagan Moon
S1932E3,Battling Bosko
S1932E4,Freddy the Freshman
S1932E5,Big-Hearted Bosko
S1932E6,Crosby, Columbo, and Vallee
S1932E7,Bosko's Party
S1932E8,Goopy Geer
S1932E9,Bosko and Bruno
S1932E10,It's Got Me Again!
S1932E11,Bosko and Honey
S1932E12,Moonlight for Two
S1932E13,Bosko's Dog Race
S1932E14,The Queen was in the Parlor
S1932E15,Bosko at the Beach
S1932E16,I Love a Parade
S1932E17,Bosko's Store
S1932E18,Bosko the Lumberjack
S1932E19,You're Too Careless with Your Kisses!
S1932E20,Ride Him, Bosko!
S1932E21,I Wish I Had Wings
S1932E22,Bosko the Drawback
S1932E23,A Great Big Bunch of You
S1932E24,Bosko's Dizzy Date
S1932E25,Three's a Crowd
S1932E26,Bosko's Woodland Daze
S1933E1,The Shanty Where Santy Claus Lives
S1933E2,Bosko in Dutch
S1933E3,One Step Ahead of My Shadow
S1933E4,Bosko in Person
S1933E5,Young and Healthy
S1933E6,Bosko the Speed King
S1933E7,The Organ Grinder
S1933E8,Wake Up the Gypsy in Me
S1933E9,Bosko's Knight-Mare
S1933E10,I Like Mountain Music
S1933E11,Bosko the Sheep-Herder
S1933E12,Beau Bosko
S1933E13,Shuffle Off to Buffalo
S1933E14,The Dish Ran Away with the Spoon
S1933E15,We're in the Money
S1933E16,Bosko's Picture Show
S1933E17,Buddy's Day Out
S1933E18,Bosko the Musketeer
S1933E19,I've Got to Sing a Torch Song
S1933E20,Bosko's Mechanical Man
S1933E21,Buddy's Beer Garden
S1933E22,Buddy's Show Boat
S1933E23,Sittin' on a Backyard Fence
S1934E1,Buddy the Gob
S1934E2,Pettin' in the Park
S1934E3,Honeymoon Hotel
S1934E4,Buddy and Towser
S1934E5,Buddy's Garage
S1934E6,Beauty and the Beast
S1934E7,Those Were Wonderful Days
S1934E8,Buddy's Trolley Troubles
S1934E9,Goin' to Heaven on a Mule
S1934E10,Buddy of the Apes
S1934E11,How Do I Know It's Sunday
S1934E12,Buddy's Bearcats
S1934E13,Why Do I Dream Those Dreams
S1934E14,The Girl at the Ironing Board
S1934E15,The Miller's Daughter
S1934E16,Shake Your Powder Puff
S1934E17,Buddy the Detective
S1934E18,Rhythm in the Bow
S1934E19,Buddy the Woodsman
S1934E20,Buddy's Circus
S1934E21,Those Beautiful Dames
S1934E22,Buddy's Adventures
S1934E23,Pop Goes Your Heart
S1934E24,Viva Buddy
S1934E25,Buddy the Dentist
S1935E1,Mr. and Mrs. Is the Name
S1935E2,Country Boy
S1935E3,Buddy's Theatre
S1935E4,I Haven't Got a Hat
S1935E5,Buddy's Pony Eress
S1935E6,Buddy of the Legion
S1935E7,Along Flirtation Walk
S1935E8,My Green Fedora
S1935E9,Buddy's Lost World
S1935E10,Into Your Dance
S1935E11,Buddy's Bug Hunt
S1935E12,Buddy in Africa
S1935E13,Country Mouse
S1935E14,Buddy Steps Out
S1935E15,The Merry Old Soul
S1935E16,Buddy the Gee Man
S1935E17,The Lady in Red
S1935E18,A Cartoonist's Nightmare
S1935E19,Little Dutch Plate
S1935E20,Hollywood Capers
S1935E21,Gold Diggers of '49
S1935E22,Billboard Frolics
S1935E23,Flowers for Madame
S1936E1,I Wanna Play House
S1936E2,The Phantom Ship
